Gene Ontology Term,Number of Associated Genes,Shannon Entropy,Skewness
humoral immune response,104,1.324499094,-1.826298519
circulatory system process,342,1.81963408,-1.45817063
neuron projection guidance,124,1.86483088,-1.432575657
leukocyte chemotaxis,128,1.764878793,-1.375321637
positive regulation of vasculature development,113,1.792367878,-1.332462903
regulation of chemotaxis,141,1.851432266,-1.326975961
myeloid leukocyte migration,119,1.788509471,-1.264035127
chemotaxis,346,1.907094327,-1.257605688
cell-cell adhesion,530,1.93335501,-1.204076278
positive regulation of cell activation,243,1.896841532,-1.198598134
negative regulation of cell activation,132,1.818859699,-1.194368125
regulation of leukocyte migration,131,1.876941837,-1.172014019
mononuclear cell migration,110,1.878151275,-1.167461526
positive regulation of leukocyte activation,236,1.912215942,-1.16689417
adaptive immune response,293,1.919754629,-1.156164142
myeloid leukocyte activation,143,1.851745378,-1.153220873
angiogenesis,372,1.919043832,-1.129398329
G protein-coupled receptor signaling pathway,296,1.98638981,-1.106417021
positive regulation of cell adhesion,299,1.931570857,-1.101929551
regulation of cell activation,396,1.960317877,-1.092634042
morphogenesis of a branching epithelium,107,1.93000567,-1.090298366
negative regulation of leukocyte activation,115,1.865958759,-1.049406716
leukocyte proliferation,191,1.949530692,-1.048568838
tumor necrosis factor superfamily cytokine production,114,1.986798726,-1.041987415
blood vessel development,489,1.978220762,-1.038331195
positive regulation of hemopoiesis,109,1.976895308,-1.037890147
negative regulation of cell adhesion,203,1.972668388,-1.032135219
regulation of cell adhesion,509,1.994998081,-1.025615125
blood coagulation,142,1.935461674,-1.017198774
muscle system process,251,2.014212372,-1.01472927
regulation of leukocyte activation,366,1.987375793,-1.012966681
phagocytosis,190,1.981454674,-0.982494429
regulation of system process,284,2.017954937,-0.971545782
response to wounding,360,1.9888831,-0.970797259
regulation of cell shape,128,2.031107501,-0.962474814
cell fate commitment,108,2.040277551,-0.960760711
positive regulation of cytokine production,296,2.03701547,-0.957590952
positive regulation of ion transport,140,1.984507844,-0.94158992
positive regulation of cellular component movement,405,2.022940696,-0.940876602
negative regulation of cellular component movement,216,2.024134376,-0.931623167
cell-substrate adhesion,267,2.031896412,-0.929005855
positive regulation of cell motility,397,2.022734536,-0.928950463
muscle cell proliferation,152,1.991136875,-0.922732102
regeneration,127,2.053807138,-0.918287739
negative regulation of cell motility,211,2.027611212,-0.915283245
negative regulation of response to external stimulus,246,2.033882243,-0.912172094
cardiac chamber development,101,2.080019409,-0.904718276
regulation of body fluid levels,227,2.045622231,-0.904317523
response to bacterium,357,1.969623956,-0.90417122
regulation of cell motility,675,2.04670818,-0.901971635
regulation of cellular component movement,716,2.052743139,-0.901858548
tissue homeostasis,167,2.030481325,-0.88512108
tube morphogenesis,576,2.04895453,-0.874233227
cell migration,959,2.075155625,-0.873474484
negative regulation of cytokine production,176,2.049742721,-0.870079418
regulation of cytokine production,471,2.089391242,-0.855503015
positive regulation of cell population proliferation,559,2.097432061,-0.829831349
epithelial cell proliferation,259,2.051635258,-0.829608742
leukocyte mediated immunity,245,2.013821935,-0.828161467
response to mechanical stimulus,138,2.04726332,-0.813860952
immune response-activating signal transduction,169,2.088538641,-0.811358604
epithelium migration,233,2.063592743,-0.804081493
muscle structure development,400,2.115565408,-0.801949701
tube development,695,2.084912644,-0.801611945
response to BMP,101,2.052524237,-0.792693519
regulation of cellular response to growth factor stimulus,189,2.091710232,-0.76170826
lymphocyte activation,496,2.118033121,-0.761468717
cell activation involved in immune response,186,2.098858063,-0.757228084
leukocyte activation involved in immune response,182,2.098114742,-0.755666836
positive regulation of response to external stimulus,249,2.095721883,-0.75535044
female pregnancy,115,2.076123038,-0.755234831
animal organ morphogenesis,564,2.114452393,-0.751829814
response to xenobiotic stimulus,267,2.132614965,-0.747360579
regulation of epithelial cell migration,184,2.076101183,-0.741645878
actin cytoskeleton organization,536,2.136878333,-0.740596324
regulation of immune effector process,203,2.09508837,-0.726315144
negative regulation of defense response,153,2.111048885,-0.724489171
regulation of hemopoiesis,250,2.100256942,-0.717969615
regulation of anatomical structure morphogenesis,635,2.133465737,-0.712340551
positive regulation of immune effector process,138,2.097817015,-0.712247805
tissue development,1105,2.137318379,-0.710297038
regulation of multicellular organismal development,835,2.116046037,-0.705068315
regulation of response to external stimulus,570,2.125800721,-0.697891422
response to transforming growth factor beta,187,2.146189983,-0.696544913
regulation of cell population proliferation,1038,2.15119956,-0.695083506
reactive oxygen species metabolic process,163,2.106880056,-0.692314225
negative regulation of cell population proliferation,472,2.14516794,-0.681750287
regulation of production of molecular mediator of immune response,104,2.147086649,-0.676566971
positive regulation of immune response,332,2.109655668,-0.673838768
regulation of hormone levels,255,2.139203356,-0.671099427
negative regulation of cell differentiation,379,2.146638783,-0.668001073
regulation of synapse structure or activity,122,2.168099109,-0.666255485
regulation of actin filament-based process,297,2.13274348,-0.666202216
regulation of transporter activity,156,2.13013771,-0.663662245
positive regulation of cell differentiation,543,2.138710403,-0.659571557
response to nutrient,117,2.076261944,-0.658876846
response to hypoxia,214,2.139212447,-0.654821565
response to toxic substance,160,2.096326816,-0.650940007
immune response-regulating signaling pathway,298,2.153200425,-0.641500414
defense response,923,2.133258544,-0.641384896
tissue morphogenesis,369,2.150744946,-0.640853112
regulation of transmembrane transport,297,2.12472229,-0.634166807
cell morphogenesis,655,2.189499584,-0.620872003
regulation of membrane potential,204,2.119251121,-0.601596201
negative regulation of immune response,132,2.14249369,-0.599395878
osteoblast differentiation,150,2.118702088,-0.595211401
positive regulation of defense response,159,2.137347255,-0.592985779
cellular chemical homeostasis,476,2.193721957,-0.591064103
regulation of hormone secretion,133,2.174464218,-0.584067265
negative regulation of cell growth,133,2.13863319,-0.581775288
positive regulation of transmembrane transport,129,2.028806596,-0.577328849
cellular modified amino acid metabolic process,116,2.14203952,-0.576577032
anatomical structure maturation,121,2.131805346,-0.576401383
developmental growth involved in morphogenesis,158,2.155638469,-0.573747345
temperature homeostasis,115,2.098822032,-0.573168274
regulation of immune response,555,2.174887101,-0.571499473
cell surface receptor signaling pathway,1650,2.197623233,-0.555807367
appendage development,105,2.182030623,-0.554555314
regulation of cell differentiation,958,2.178456549,-0.554444089
regulation of synaptic plasticity,103,2.14187062,-0.553443052
response to oxygen levels,248,2.174363478,-0.540730769
cellular response to biotic stimulus,152,2.157641061,-0.536390958
lipid localization,263,2.150090571,-0.530838657
organic hydroxy compound metabolic process,320,2.176348092,-0.528196572
cellular component morphogenesis,465,2.212526516,-0.527735219
positive regulation of secretion,184,2.188944318,-0.527558782
nervous system process,437,2.191077041,-0.527043427
hematopoietic or lymphoid organ development,598,2.205568996,-0.524664611
regulation of anatomical structure size,350,2.192930502,-0.512528055
positive regulation of secretion by cell,172,2.199660902,-0.507444905
defense response to other organism,596,2.172498986,-0.506098379
regulation of cold-induced thermogenesis,101,2.108404617,-0.504574883
cold-induced thermogenesis,101,2.108404617,-0.504574883
homeostatic process,1100,2.213270079,-0.503414053
